"region","temperature_C","rainfall_mm","irrigation","fertiliser_kgha","chem_weed_control_kgha","soil_organic_matter","seed_brand","tractor_brand"
"North West",22.07,311.8,"Rainfed",109.83,135.35,3.229,"Pioneer","John Deere"
"Free State",20.66,363.7,"Rainfed",158.33,129.29,3.335,"Dekalb","New Holland"
"North West",30.55,464.2,"Rainfed",133.05,77.13,3.04,"Pioneer","John Deere"
"North West",26.33,1096,"Rainfed",230.19,101.92,3.901,"Pioneer","New Holland"
"Mpumalanga",21.8,768,"Rainfed",133.44,120.93,4.105,"Pannar","John Deere"
"Free State",23.54,581.2,"Rainfed",222.38,205.91,3.103,"Dekalb","Case"
"Free State",21.4,557.8,"Rainfed",223.37,193.13,3.879,"Pioneer","New Holland"
"Free State",15.93,670.6,"Rainfed",136.73,95.03,3.568,"Dekalb","John Deere"
"Free State",25.4,234.8,"Rainfed",301.41,110.02,3.466,"Dekalb","John Deere"
"North West",31.81,302,"Rainfed",166.38,293.89,3.456,"Pannar","John Deere"
"Free State",18.85,531.9,"Rainfed",124.67,72.61,3.647,"Pioneer","Case"
"Free State",29.93,816.8,"Rainfed",169.76,147.19,3.523,"Pioneer","John Deere"
"Mpumalanga",23.16,706.4,"Rainfed",108,153.76,3.25,"Pannar","John Deere"
"Mpumalanga",26.02,433.9,"Rainfed",216.85,108.79,3.514,"Pannar","John Deere"
"Free State",20.17,845.9,"Rainfed",112.48,73.91,3.795,"Pannar","Case"
"Mpumalanga",22.5,602.2,"Rainfed",284.8,114.14,3.431,"Pioneer","New Holland"
"Free State",23.6,625.2,"Rainfed",68.18,448.32,3.132,"Pioneer","John Deere"
"Free State",27.07,871,"Rainfed",102.57,129.46,3.012,"Dekalb","John Deere"
"North West",25.12,438.8,"Rainfed",142.48,123.11,3.664,"Pioneer","Case"
"Mpumalanga",21.97,702,"Rainfed",122.16,147.19,3.494,"Pioneer","John Deere"
"Mpumalanga",16.66,892.3,"Rainfed",291.4,80.91,3.372,"Pannar","John Deere"
"Free State",20.89,529.3,"Rainfed",160.32,189.72,3.569,"Pannar","John Deere"
"Free State",24.5,665.8,"Rainfed",191.23,187.06,3.291,"Dekalb","John Deere"
"Mpumalanga",19.88,725.6,"Rainfed",222.11,116.46,3.498,"Pioneer","John Deere"
"North West",27.78,399.9,"Rainfed",175.52,139.55,3.549,"Pioneer","John Deere"
"Free State",22.13,779,"Irrigated",247.36,108.63,2.907,"Pioneer","Case"
"Free State",26.43,320.8,"Rainfed",198.25,184.63,3.166,"Dekalb","John Deere"
"Mpumalanga",25.51,768,"Rainfed",221.24,65.09,3.108,"Dekalb","John Deere"
"Mpumalanga",19.53,908.2,"Rainfed",87.52,123.16,3.169,"Pioneer","John Deere"
"Free State",22.77,757.3,"Rainfed",101.96,179.26,3.98,"Dekalb","John Deere"
"Free State",29.76,733.5,"Rainfed",63.92,287.46,3.84,"Dekalb","John Deere"
"Mpumalanga",15.4,677.7,"Rainfed",147.72,90.82,3.766,"Pioneer","John Deere"
"Mpumalanga",21.04,1248.4,"Rainfed",302.09,82.73,3.454,"Pannar","John Deere"
"North West",38.32,239.6,"Rainfed",108.57,129.55,3.763,"Dekalb","John Deere"
"Free State",32.77,379.2,"Rainfed",188.03,132.5,3.075,"Dekalb","John Deere"
"Free State",24.63,498.3,"Rainfed",198.35,190.3,2.885,"Pannar","John Deere"
"Mpumalanga",19.41,622.6,"Rainfed",182.02,129.2,2.608,"Dekalb","New Holland"
"North West",28.83,746.2,"Irrigated",145.79,105.35,3.558,"Pioneer","John Deere"
"North West",24.74,409.7,"Rainfed",126.52,314.51,3.487,"Pannar","Case"
"Free State",29.81,594.5,"Rainfed",125.52,117.45,3.235,"Pioneer","John Deere"
"Free State",20.77,486.4,"Rainfed",165.71,200.96,3.645,"Pannar","Case"
"Free State",25.49,1001.9,"Rainfed",285.61,189.15,3.538,"Pioneer","John Deere"
"Mpumalanga",23.86,1114.2,"Rainfed",117.44,111.82,3.451,"Pioneer","John Deere"
"Mpumalanga",19.73,697.8,"Rainfed",156.15,284.3,3.903,"Dekalb","Case"
"Free State",27.41,720.6,"Rainfed",171.57,81.38,3.925,"Dekalb","New Holland"
"Mpumalanga",19.76,581.6,"Rainfed",230.17,89.65,3.823,"Pannar","Case"
"Free State",26.52,591.4,"Rainfed",149.1,228.19,3.664,"Pannar","Case"
"Free State",28.39,465.5,"Rainfed",215.63,68.09,3.166,"Pioneer","John Deere"
"North West",23.06,480.7,"Rainfed",87.13,180.37,3.414,"Pioneer","New Holland"
"Free State",28.43,712.3,"Rainfed",223.15,148.38,3.475,"Pioneer","John Deere"
"Mpumalanga",20.53,1098.8,"Rainfed",171.36,188.74,3.599,"Dekalb","Case"
"Free State",25.18,531.8,"Irrigated",103.3,192.29,3.82,"Pannar","John Deere"
"Free State",24.81,442.4,"Rainfed",61.16,101.16,3.053,"Dekalb","John Deere"
"Free State",22.29,451.4,"Rainfed",140.85,100.32,3.082,"Pioneer","John Deere"
"Free State",25.07,644.4,"Rainfed",218.5,195.11,3.477,"Dekalb","John Deere"
"Free State",19.08,346.1,"Rainfed",188.35,201.63,3.051,"Pannar","New Holland"
"Free State",23.46,722.2,"Rainfed",140.92,82.91,3.844,"Dekalb","Case"
"Free State",27.3,485.4,"Rainfed",168.02,78.67,3.422,"Dekalb","Case"
"Mpumalanga",15.48,1232.4,"Rainfed",175.75,84.36,2.778,"Dekalb","John Deere"
"Free State",18.05,1011.4,"Rainfed",119.51,135.04,3.484,"Dekalb","John Deere"
"Free State",19.35,483.9,"Irrigated",168.34,134.66,3.567,"Pannar","Case"
"Free State",17.64,1010.2,"Rainfed",172.52,381.95,3.326,"Pannar","John Deere"
"Mpumalanga",23.26,889.1,"Rainfed",121.02,172.56,3.145,"Dekalb","John Deere"
"Mpumalanga",19.02,843.4,"Rainfed",178.93,127.12,3.541,"Dekalb","John Deere"
"Mpumalanga",15.51,642.1,"Rainfed",187.67,107.53,3.9,"Pioneer","John Deere"
"North West",24.81,631.2,"Rainfed",205.67,107.19,3.351,"Pannar","John Deere"
"North West",26.05,554.2,"Rainfed",222.45,103.23,3.817,"Pannar","John Deere"
"Free State",27.43,439.7,"Rainfed",195.79,83.63,3.888,"Pioneer","John Deere"
"Free State",19.58,725.1,"Rainfed",186.94,146.89,3.145,"Pannar","Case"
"Free State",28.65,705,"Rainfed",157.95,33,3.747,"Dekalb","Case"
"Free State",25.59,823,"Rainfed",199.01,80.89,3.477,"Dekalb","John Deere"
"Free State",25.45,995.5,"Rainfed",95.96,211.08,3.599,"Pannar","Case"
"Free State",20.59,456.7,"Rainfed",217.15,145.23,4.023,"Pannar","New Holland"
"Mpumalanga",27.86,714.2,"Rainfed",131.07,173.87,3.785,"Pannar","John Deere"
"Free State",23.34,488.5,"Rainfed",443.76,104.62,3.344,"Pioneer","Case"
"Free State",16.7,1097.5,"Rainfed",127.69,254.12,3.118,"Dekalb","John Deere"
"Free State",23.18,348,"Rainfed",48.27,119.12,3.585,"Pannar","John Deere"
"Free State",16.26,415.6,"Rainfed",294.53,176.41,3.668,"Dekalb","New Holland"
"Free State",22.76,755.5,"Rainfed",127.57,136.75,3.878,"Dekalb","Case"
"Free State",22.31,442.6,"Rainfed",211.57,168.14,3.917,"Pioneer","John Deere"
"Free State",26.73,266.9,"Rainfed",181.03,111.74,3.52,"Dekalb","New Holland"
"Free State",28.04,583.4,"Rainfed",261.99,236.11,3.529,"Dekalb","John Deere"
"Mpumalanga",19.82,751.8,"Rainfed",112.09,108.02,3.658,"Pioneer","John Deere"
"Free State",27.22,769.8,"Rainfed",99.28,483.76,3.823,"Pioneer","John Deere"
"Free State",29.7,285.8,"Rainfed",258.52,126.51,3.496,"Pannar","John Deere"
"North West",24.08,698.2,"Rainfed",109.49,143.75,3.387,"Pioneer","John Deere"
"Free State",21.39,215.5,"Rainfed",85.77,103.22,3.155,"Dekalb","Case"
"Mpumalanga",23.95,718,"Rainfed",228.86,188.2,3.51,"Pioneer","Case"
"Free State",24.73,508.1,"Rainfed",159.99,147.81,3.48,"Dekalb","John Deere"
"Free State",26.2,560.5,"Rainfed",432.72,180.21,3.484,"Pannar","New Holland"
"Free State",29.62,839.5,"Rainfed",190.32,186.55,3.377,"Pannar","John Deere"
"Free State",25.55,673.1,"Rainfed",141.59,96.62,3.319,"Pioneer","John Deere"
"Mpumalanga",25.16,860.3,"Rainfed",126.03,196.12,3.792,"Pannar","Case"
"Free State",26.49,250.5,"Rainfed",336.32,80.15,3.412,"Pannar","Case"
"Mpumalanga",23.3,935.9,"Rainfed",98.2,145.5,3.996,"Dekalb","John Deere"
"Mpumalanga",23.16,617.6,"Rainfed",213.74,203.82,3.266,"Dekalb","John Deere"
"Free State",29.17,404.2,"Rainfed",208.78,67.07,2.905,"Pannar","New Holland"
"Free State",19.99,722.4,"Rainfed",128.98,111.74,3.474,"Dekalb","Case"
"Free State",19.58,1291,"Rainfed",315.72,113.67,3.848,"Pioneer","John Deere"
"Free State",26.37,630.3,"Rainfed",119.75,54.42,3.443,"Pannar","John Deere"
"North West",27.4,316.6,"Rainfed",163.13,124.24,2.983,"Pioneer","New Holland"
"Free State",24.3,495.6,"Rainfed",193.91,253.89,3.31,"Pioneer","John Deere"
"Free State",26.97,731.4,"Rainfed",441.05,72.78,3.484,"Pannar","Case"
"Mpumalanga",24.26,796.4,"Rainfed",213.58,83.44,3.903,"Pioneer","Case"
"Mpumalanga",21.21,951.2,"Rainfed",343.09,114.16,3.875,"Pannar","John Deere"
"North West",26.44,491.4,"Irrigated",120.72,132.39,3.72,"Dekalb","John Deere"
"Mpumalanga",22.22,1013.5,"Rainfed",78.39,142.41,3.681,"Dekalb","New Holland"
"Mpumalanga",25.19,671.9,"Rainfed",239.95,147.82,3.253,"Pioneer","New Holland"
"Mpumalanga",23.28,598.3,"Rainfed",82.39,120.14,3.742,"Pannar","New Holland"
"Mpumalanga",26.3,945.1,"Rainfed",93.03,387.35,3.883,"Dekalb","John Deere"
"Mpumalanga",21.98,616.9,"Rainfed",213.18,111.43,3.728,"Dekalb","John Deere"
"Free State",28.5,814.5,"Rainfed",160.64,75.14,3.85,"Dekalb","John Deere"
"Free State",27.53,458.3,"Rainfed",235.67,67.87,3.56,"Pannar","John Deere"
"North West",31.06,406.7,"Rainfed",302.27,124.41,3.756,"Pannar","New Holland"
"Mpumalanga",23.24,744.5,"Rainfed",242.34,106.97,3.933,"Dekalb","John Deere"
"North West",26.6,426.5,"Rainfed",193.48,216.59,3.18,"Dekalb","New Holland"
"Free State",23.56,678.9,"Rainfed",207.93,125.09,3.96,"Dekalb","New Holland"
"Free State",24.92,671.9,"Rainfed",174.92,140.79,3.728,"Pannar","John Deere"
"Mpumalanga",22.15,843.7,"Rainfed",339.73,66.29,3.736,"Pannar","John Deere"
"North West",32.72,387.1,"Rainfed",168.19,122.2,3.465,"Dekalb","Case"
"Free State",23.56,454.7,"Rainfed",231.72,120.47,3.198,"Pannar","John Deere"
"Free State",23.72,488.7,"Rainfed",110.35,72.92,3.112,"Dekalb","John Deere"
"North West",25.58,371.8,"Rainfed",167.25,90.64,3.56,"Dekalb","New Holland"
"Free State",23.45,369.2,"Irrigated",70.43,92.25,3.434,"Pioneer","New Holland"
"Free State",23.72,997.7,"Rainfed",174.47,196.23,3.852,"Pannar","John Deere"
"Free State",14.75,275.4,"Rainfed",87.44,174.13,3.498,"Pannar","John Deere"
"Free State",18.54,816.4,"Rainfed",155.46,185,3.425,"Pioneer","John Deere"
"Free State",23.71,462.5,"Rainfed",148.54,253.7,3.938,"Pannar","John Deere"
"Mpumalanga",21.2,908.9,"Rainfed",248.52,117.86,3.455,"Pannar","John Deere"
"Free State",19.2,820.1,"Rainfed",125.23,229.81,3.332,"Dekalb","John Deere"
"Mpumalanga",16.03,1032.5,"Rainfed",124.07,120.8,3.767,"Pannar","John Deere"
"North West",26.23,409.6,"Rainfed",71.17,227.08,3.921,"Pioneer","New Holland"
"Free State",26.61,369.4,"Rainfed",214.05,77.94,3.172,"Dekalb","John Deere"
"Free State",31.09,794,"Rainfed",261.14,103.95,3.403,"Pannar","John Deere"
"Free State",23.85,690.2,"Rainfed",149.43,203.89,3.401,"Pioneer","John Deere"
"Free State",29.97,482.5,"Rainfed",308.37,283.68,3.472,"Pannar","John Deere"
"Free State",24.33,297,"Rainfed",138.22,133.6,3.567,"Pioneer","John Deere"
"Free State",24.46,736.8,"Rainfed",107.48,117.34,3.725,"Pannar","John Deere"
"Free State",25.3,810,"Rainfed",181.29,179.47,3.823,"Dekalb","New Holland"
"North West",23.65,464,"Rainfed",220.13,128.84,3.266,"Dekalb","John Deere"
"Free State",23.79,466.6,"Rainfed",87.24,136.75,3.48,"Dekalb","New Holland"
"Free State",27.63,741.8,"Rainfed",82.14,152.03,3.73,"Dekalb","Case"
"Free State",21,463.5,"Rainfed",167.76,220.46,3.317,"Dekalb","John Deere"
"Free State",22.71,934.1,"Rainfed",201.7,84.7,3.667,"Pioneer","John Deere"
"Free State",19.41,187.1,"Irrigated",60.79,111.75,4,"Pannar","John Deere"
"Free State",25.42,604.6,"Rainfed",79.71,177.43,3.088,"Pannar","Case"
"Free State",25.7,348.5,"Rainfed",187.45,52.49,3.684,"Pannar","Case"
"Free State",26.59,635.8,"Rainfed",239.88,241.57,3.467,"Pioneer","John Deere"
"Free State",19.12,868.5,"Rainfed",139.92,101.92,3.238,"Pannar","John Deere"
"Free State",24.43,328.8,"Rainfed",273.83,85.5,3.549,"Pioneer","John Deere"
"Mpumalanga",19.17,739.2,"Rainfed",126.75,146.42,3.512,"Pannar","John Deere"
"Mpumalanga",22,996.3,"Rainfed",153.25,366.37,3.232,"Pannar","John Deere"
"North West",34.71,447.2,"Rainfed",291.75,100.86,3.446,"Pioneer","John Deere"
"Mpumalanga",20.49,769.2,"Rainfed",158.89,70.01,3.7,"Pannar","New Holland"
"Mpumalanga",24.15,791.7,"Rainfed",166.3,128.13,3.453,"Pioneer","John Deere"
"Mpumalanga",19.75,543.2,"Rainfed",112.25,228.51,4.046,"Pioneer","John Deere"
"Free State",22.09,389.4,"Rainfed",169.23,120.2,3.953,"Dekalb","John Deere"
"Free State",25.75,502.6,"Rainfed",125.12,177.39,3.255,"Dekalb","John Deere"
"Free State",21.28,916.4,"Rainfed",76.62,227.13,3.948,"Pannar","John Deere"
"Free State",17.19,794.7,"Rainfed",108.94,63.52,3.918,"Pannar","New Holland"
"Mpumalanga",25.8,656.8,"Rainfed",148.64,177.41,3.299,"Dekalb","John Deere"
"Mpumalanga",23.08,561.8,"Rainfed",176.32,108.05,3.967,"Pioneer","John Deere"
"Free State",21.67,360.9,"Rainfed",258.86,132.38,3.983,"Pioneer","John Deere"
"Mpumalanga",16.02,861.1,"Rainfed",167.2,368.2,3.738,"Pioneer","John Deere"
"Free State",31.61,531,"Irrigated",155.82,152.03,3.727,"Pannar","John Deere"
"Mpumalanga",32.17,916,"Rainfed",263.08,194.81,3.188,"Pannar","New Holland"
"Mpumalanga",22.62,599.6,"Rainfed",458.61,87.6,4.06,"Pioneer","New Holland"
"Free State",27.4,407.2,"Rainfed",158.63,164.53,3.287,"Pioneer","Case"
"Free State",28.9,580.4,"Rainfed",271.23,128.67,3.367,"Pioneer","Case"
"Free State",21.19,664.7,"Rainfed",202.2,122.63,3.666,"Pannar","New Holland"
"Free State",22.6,666.7,"Rainfed",159.26,174.13,3.538,"Pioneer","Case"
"North West",19.36,314.9,"Rainfed",72.77,69.71,3.993,"Dekalb","John Deere"
"North West",24.32,423.1,"Rainfed",109.07,251.98,3.258,"Dekalb","Case"
"Free State",26.49,641,"Rainfed",129.86,374.4,3.328,"Dekalb","John Deere"
"Free State",22.84,599.5,"Rainfed",102.66,111.75,3.579,"Pioneer","John Deere"
"Free State",23.14,584.4,"Rainfed",100.46,171.13,3.667,"Dekalb","John Deere"
"Mpumalanga",21.66,805.3,"Rainfed",138.04,338.25,4.402,"Dekalb","John Deere"
"Free State",16.55,641.7,"Rainfed",246.4,91.89,3.139,"Pannar","John Deere"
"Free State",27.35,595.6,"Rainfed",111.29,138.8,3.817,"Pioneer","John Deere"
"Free State",18.23,697.3,"Rainfed",172.95,378.75,3.794,"Dekalb","John Deere"
"Free State",23.17,509.6,"Rainfed",150.9,90.14,3.822,"Pioneer","New Holland"
"Free State",22.25,528.2,"Rainfed",230.34,207.73,3.115,"Pioneer","John Deere"
"Free State",23.13,291.6,"Rainfed",167.19,167.72,3.581,"Pioneer","John Deere"
"Free State",29.84,596.8,"Rainfed",153.15,115.69,3.324,"Dekalb","John Deere"
"Free State",21.67,661,"Irrigated",128.35,159.61,2.984,"Pannar","New Holland"
"Free State",20.87,652.1,"Rainfed",240.21,117.29,3.242,"Dekalb","New Holland"
"Free State",17.92,482.5,"Irrigated",266.81,190.5,3.196,"Pannar","John Deere"
"North West",23.97,488.4,"Rainfed",165.85,108.41,3.977,"Pioneer","John Deere"
"Free State",19.34,369.8,"Rainfed",500,62.31,3.281,"Pioneer","Case"
"Free State",25.63,467,"Rainfed",164.28,195.02,3.747,"Pannar","John Deere"
"Mpumalanga",19.41,581.7,"Rainfed",500,224.69,3.694,"Pannar","John Deere"
"Mpumalanga",22.91,583.1,"Rainfed",155.4,142.83,3.26,"Pannar","New Holland"
"Free State",23.41,491.7,"Rainfed",84.43,94.03,3.65,"Dekalb","John Deere"
"Mpumalanga",17.7,546,"Rainfed",89.83,109.72,3.682,"Pioneer","New Holland"
"Free State",20.84,453.4,"Rainfed",113.62,75.75,3.149,"Pioneer","New Holland"
"North West",32.43,671.5,"Irrigated",308.13,73.43,3.687,"Pioneer","New Holland"
"Mpumalanga",24.71,916.5,"Rainfed",339,224.7,3.519,"Pioneer","Case"
"Free State",32.02,772.9,"Rainfed",194.73,54.51,3.408,"Pannar","Case"
"Free State",23.99,781.4,"Rainfed",187.5,174.18,3.246,"Pannar","John Deere"
"Free State",18.02,289,"Rainfed",130.95,114.62,3.439,"Dekalb","John Deere"
"Free State",20.93,1064,"Rainfed",123.41,75.47,3.224,"Pioneer","John Deere"
"Free State",25.63,712.6,"Rainfed",121.27,122.6,3.492,"Pioneer","John Deere"
"Mpumalanga",27.7,770.9,"Rainfed",113.66,124.99,3.457,"Pioneer","New Holland"
"Free State",24.44,485.3,"Rainfed",130.79,231.78,3.41,"Pioneer","New Holland"
"Mpumalanga",25.42,601.8,"Rainfed",126.27,394.22,3.824,"Pioneer","New Holland"
"North West",31.84,583.5,"Rainfed",205.87,305.29,3.278,"Pannar","Case"
"Mpumalanga",18.5,620.8,"Rainfed",228.17,279.86,3.479,"Dekalb","John Deere"
"Free State",23.32,616.7,"Rainfed",324.89,278.49,3.759,"Pioneer","New Holland"
"Free State",29.22,497.5,"Rainfed",58.16,205.28,3.862,"Pioneer","John Deere"
"Free State",27.5,472,"Rainfed",202.97,111.09,3.439,"Pioneer","John Deere"
"Free State",25.86,532.6,"Rainfed",143.68,146.66,3.502,"Dekalb","Case"
"Mpumalanga",23.43,827.7,"Rainfed",146.9,68.9,3.848,"Pannar","Case"
"Free State",22.03,190.9,"Rainfed",81.92,96.24,3.563,"Pannar","Case"
"Mpumalanga",18.04,757.7,"Rainfed",162.21,92.26,3.633,"Dekalb","John Deere"
"Free State",29.18,658.4,"Rainfed",118.32,83.78,3.403,"Pannar","Case"
"Mpumalanga",17.74,640.6,"Rainfed",191.31,254.47,3.554,"Pioneer","New Holland"
"Mpumalanga",19.18,681.6,"Rainfed",102.55,169.71,3.524,"Pioneer","John Deere"
"Free State",26.52,453.3,"Rainfed",500,152.86,3.646,"Pioneer","New Holland"
"Mpumalanga",18.21,676.6,"Rainfed",118.01,135.25,3.482,"Pannar","John Deere"
"Mpumalanga",20.34,705.5,"Irrigated",145.91,210.56,3.427,"Dekalb","John Deere"
"Free State",19.27,398.6,"Rainfed",97.62,201.3,3.474,"Dekalb","John Deere"
"Free State",26.48,833.9,"Rainfed",143.28,90.96,3.369,"Pioneer","New Holland"
"North West",30.23,548.7,"Rainfed",407.06,55.85,3.931,"Pannar","New Holland"
"Mpumalanga",23.27,1108.2,"Rainfed",139.57,80.56,3.226,"Pannar","John Deere"
"Mpumalanga",23.33,611.5,"Rainfed",213.13,109.12,3.863,"Pannar","Case"
"Free State",26.23,511.8,"Rainfed",110.37,135.73,3.476,"Pannar","Case"
"Free State",26.56,370.9,"Rainfed",316.07,264.93,2.859,"Pannar","New Holland"
"Free State",16.13,217.8,"Rainfed",200.67,180.17,3.329,"Pannar","New Holland"
"North West",27.26,670.7,"Rainfed",121.34,184.27,3.836,"Pannar","John Deere"
"Free State",24.45,474.6,"Rainfed",181.39,194.78,3.095,"Pioneer","New Holland"
"Free State",26.9,601.9,"Rainfed",139.57,128.28,3.524,"Pannar","New Holland"
"Free State",19.25,383.7,"Rainfed",204.14,84.38,3.127,"Dekalb","Case"
"Free State",22,928.2,"Irrigated",116.65,91.26,3.557,"Pannar","John Deere"
"Mpumalanga",18.78,982.1,"Rainfed",200.24,74.42,3.857,"Pannar","New Holland"
"North West",33.29,615.1,"Rainfed",322.14,76.58,3.399,"Pannar","John Deere"
"Mpumalanga",25.84,763.8,"Rainfed",281.17,69.32,3.79,"Dekalb","John Deere"
"Free State",27.15,714.3,"Rainfed",187.23,199.04,3.712,"Pannar","John Deere"
"Free State",19.11,698.9,"Rainfed",189.52,79.28,3.886,"Dekalb","John Deere"
"North West",30.26,814.7,"Irrigated",196.72,178.91,3.89,"Pannar","John Deere"
"Free State",28.6,738,"Rainfed",240.87,384.98,3.79,"Dekalb","New Holland"
"Free State",24.67,532.5,"Rainfed",193.77,124.49,3.604,"Pannar","John Deere"
"North West",25.17,530.8,"Irrigated",212.76,125.27,3.504,"Pannar","John Deere"
"Free State",19.66,641.6,"Rainfed",215.64,197.24,3.558,"Pioneer","John Deere"
"Free State",21.34,799.3,"Irrigated",181.19,135.05,3.633,"Pannar","John Deere"
"Mpumalanga",24.14,723.2,"Rainfed",223.34,96.84,3.236,"Pannar","John Deere"
"Free State",22.27,874.7,"Rainfed",168.58,72.39,3.349,"Pioneer","Case"
"Mpumalanga",22.68,578.1,"Rainfed",252.7,141.68,3.349,"Pioneer","New Holland"
"Free State",29.18,527.6,"Rainfed",137.14,112.45,3.312,"Pannar","New Holland"
"Free State",26.31,569.1,"Rainfed",178.59,161.79,3.399,"Dekalb","John Deere"
"Free State",29.46,742.8,"Rainfed",166.77,154.05,3.47,"Dekalb","New Holland"
"Free State",17.19,968,"Rainfed",104.25,241.84,3.317,"Pannar","John Deere"
"Free State",22.88,547.3,"Rainfed",273.64,177.42,2.825,"Pioneer","John Deere"
"Free State",24.26,549.9,"Rainfed",100.41,225.1,4.095,"Dekalb","John Deere"
"Free State",26.31,839.5,"Irrigated",286.27,140.2,3.263,"Dekalb","John Deere"
"Mpumalanga",18.49,915.3,"Irrigated",104.5,195.25,3.852,"Pioneer","Case"
"Free State",27.22,754.1,"Rainfed",108.4,121.8,3.311,"Dekalb","John Deere"
"North West",29.54,708.2,"Rainfed",237.07,126.97,3.634,"Dekalb","New Holland"
"Mpumalanga",22.79,816.4,"Rainfed",158.88,140.51,3.479,"Pioneer","John Deere"
"Free State",26.03,809.9,"Rainfed",75.14,83.04,3.687,"Pannar","John Deere"
"Mpumalanga",21.65,754.1,"Rainfed",311.42,79.6,2.964,"Dekalb","Case"
"North West",32.63,862.2,"Rainfed",57.18,119.47,3.557,"Pannar","John Deere"
"Mpumalanga",23.94,1151.4,"Rainfed",122.58,72.96,3.5,"Pioneer","New Holland"
"Free State",23.4,549.6,"Rainfed",86.26,141.82,3.91,"Dekalb","John Deere"
"North West",33.2,421.2,"Rainfed",129.24,193.73,3.344,"Dekalb","Case"
"Mpumalanga",22.88,720.8,"Rainfed",170.8,91.87,3.394,"Pannar","John Deere"
"Free State",26.68,696.5,"Rainfed",142.77,139.1,2.942,"Pannar","John Deere"
"Mpumalanga",20.22,661.7,"Rainfed",128.65,68.59,3.565,"Pioneer","Case"
"North West",35.9,552,"Rainfed",153.44,205.84,3.63,"Pioneer","John Deere"
"Free State",23.98,530,"Rainfed",184.4,116,3.419,"Pannar","New Holland"
"Free State",27.39,583,"Rainfed",114.38,268.13,3.306,"Pioneer","New Holland"
"Free State",23.6,472.6,"Irrigated",68.16,138.47,3.594,"Pannar","Case"
"Free State",22.88,815.5,"Rainfed",111.02,310.34,3.16,"Pioneer","New Holland"
"Free State",27.14,541.4,"Rainfed",73.28,157.71,3.573,"Dekalb","Case"
"Mpumalanga",17.25,683.7,"Rainfed",215.42,124.95,3.833,"Pannar","John Deere"
"Mpumalanga",23.44,859.2,"Rainfed",363.89,213.01,3.472,"Pioneer","New Holland"
"Free State",25.57,762,"Rainfed",101.14,171.98,3.387,"Pannar","John Deere"
"Mpumalanga",13.91,761.3,"Rainfed",112.94,106.22,3.445,"Dekalb","John Deere"
"Mpumalanga",23.11,1282.1,"Rainfed",113.42,185.64,3.706,"Pannar","John Deere"
"Free State",15.33,965,"Rainfed",229.88,179.86,3.18,"Pioneer","John Deere"
"Free State",26.64,697.8,"Rainfed",166.69,160.4,3.241,"Pioneer","John Deere"
"Free State",22.18,570.7,"Rainfed",202.44,116.04,3.052,"Pannar","John Deere"
"Mpumalanga",19.92,870.8,"Rainfed",228.23,132.93,3.456,"Pioneer","John Deere"
"North West",27.97,395.9,"Irrigated",182.74,200.78,3.451,"Pannar","John Deere"
"Free State",29.49,648.9,"Rainfed",198.93,223.93,3.504,"Dekalb","John Deere"
"North West",24.82,384.9,"Rainfed",100.41,155.14,3.423,"Pannar","Case"
"Free State",26.23,540.2,"Rainfed",160.23,95.01,2.933,"Pioneer","John Deere"
"Mpumalanga",23.02,785.7,"Rainfed",126.63,189.94,3.133,"Pioneer","John Deere"
"Free State",19.28,512.8,"Rainfed",94.52,145.28,3.418,"Pannar","John Deere"
"Mpumalanga",16.78,547.9,"Rainfed",100.13,225.2,3.602,"Pannar","John Deere"
"North West",18.04,266,"Rainfed",244.91,66.77,3.546,"Pioneer","New Holland"
"Mpumalanga",23.65,938,"Rainfed",94.69,97.69,3.213,"Dekalb","John Deere"
"Free State",23.86,665.5,"Rainfed",138.54,172.18,3.809,"Pannar","John Deere"
"Free State",31.4,640.3,"Rainfed",249.63,74.56,3.484,"Dekalb","Case"
"Free State",26.29,376.6,"Rainfed",189.17,460.45,3.362,"Pioneer","Case"
"North West",32.25,450.8,"Rainfed",216.98,93.13,3.531,"Dekalb","New Holland"
"Free State",29.34,824.3,"Rainfed",189.34,165.77,3.751,"Pioneer","John Deere"
"Free State",22,522.5,"Rainfed",154.41,63.12,3.677,"Pioneer","John Deere"
"North West",30.55,600.6,"Rainfed",64.64,361.73,3.351,"Pioneer","John Deere"
"Free State",27.48,596.5,"Rainfed",127.02,187.6,3.127,"Pioneer","New Holland"
"Free State",29.48,836.2,"Rainfed",91.62,108.2,3.754,"Pioneer","John Deere"
"Free State",27.05,380.9,"Rainfed",140.09,152.63,3.151,"Pioneer","Case"
"Free State",25.68,539.4,"Irrigated",393.45,99.16,3.278,"Dekalb","Case"
"Mpumalanga",19.4,529.3,"Rainfed",174.43,63.36,3.851,"Pioneer","John Deere"
"Free State",26.92,420.9,"Rainfed",121.21,83.81,3.31,"Pioneer","New Holland"
"Free State",26,342.6,"Rainfed",239.88,90.7,3.388,"Pannar","John Deere"
"North West",31.17,489.8,"Irrigated",202.64,225.59,3.6,"Dekalb","New Holland"
"Mpumalanga",23.27,735,"Rainfed",158.97,167.18,3.911,"Pannar","John Deere"
"Mpumalanga",21.39,1413.1,"Rainfed",149.33,115.32,3.283,"Dekalb","John Deere"
"Free State",23.69,452.2,"Rainfed",154.63,121.31,3.707,"Dekalb","Case"
